site_id,day,month,year,min_temp,max_temp,min_humidity,max_humidity
1,6,7,2016,3.2,14.1,61,96
1,7,7,2016,2.6,11.0,60,97
1,8,7,2016,6.7,12.4,70,92
1,9,7,2016,8.3,11.8,84,96
1,10,7,2016,9.7,13.0,81,96
1,11,7,2016,11.1,13.8,71,95
1,12,7,2016,3.6,12.6,66,93
1,13,7,2016,2.2,8.7,68,91
1,14,7,2016,7.3,12.1,72,85
1,15,7,2016,9.4,13.5,69,88
1,16,7,2016,7.2,14.1,68,94
1,17,7,2016,7.7,12.9,67,95
1,18,7,2016,8.4,13.0,77,96
1,19,7,2016,8.2,13.6,61,88
1,20,7,2016,5.1,15.0,62,96
1,21,7,2016,2.1,12.3,83,98
1,22,7,2016,4.5,15.1,67,97
1,23,7,2016,-0.6,7.1,68,95
1,24,7,2016,-1.3,8.9,75,96
1,25,7,2016,5.4,12.5,69,97
1,26,7,2016,3.1,9.7,66,94
1,27,7,2016,4.4,10.3,67,95
1,28,7,2016,8.8,13.0,74,90
1,29,7,2016,5.6,13.8,67,92
1,30,7,2016,-0.2,12.7,65,96
1,31,7,2016,4.5,13.7,56,95
1,1,8,2016,2.3,11.8,73,97
1,2,8,2016,3.6,13.5,64,88
1,3,8,2016,2.4,14.3,50,96
1,4,8,2016,-0.6,11.0,55,96
1,5,8,2016,2.2,10.1,76,95
1,6,8,2016,1.3,10.6,58,94
1,7,8,2016,0.6,11.1,65,95
1,8,8,2016,1.4,11.2,75,97
1,9,8,2016,7.2,14.1,68,95
1,10,8,2016,5.6,11.5,67,93
1,11,8,2016,1.9,11.8,62,97
1,12,8,2016,3.6,12.8,81,97
1,13,8,2016,3.3,14.2,63,98
1,14,8,2016,1.5,14.5,63,95
1,15,8,2016,6.5,14.4,71,96
1,16,8,2016,3.2,14.4,73,98
1,17,8,2016,4.6,15.0,53,94
1,18,8,2016,4.4,12.8,80,95
1,19,8,2016,3.7,15.3,65,96
1,20,8,2016,3.0,11.5,69,98
1,21,8,2016,0.6,12.4,61,96
1,22,8,2016,1.0,12.5,54,96
1,23,8,2016,-1.8,12.8,47,97
1,24,8,2016,-1.2,13.9,56,97
1,25,8,2016,-0.8,13.6,50,95
1,26,8,2016,0.6,13.7,59,96
1,27,8,2016,1.2,13.5,64,98
1,28,8,2016,2.2,13.2,46,96
1,29,8,2016,0.4,11.1,62,95
1,30,8,2016,2.1,12.6,73,98
1,31,8,2016,8.9,15.8,83,99
1,1,9,2016,5.7,14.5,58,96
1,2,9,2016,0.9,12.5,70,96
1,3,9,2016,4.5,15.1,55,97
1,4,9,2016,7.7,14.5,66,92
1,5,9,2016,10.0,16.6,65,93
1,6,9,2016,6.3,16.9,58,94
1,7,9,2016,2.8,13.8,80,97
1,8,9,2016,12.1,16.9,60,96
1,9,9,2016,12.4,13.3,92,97
1,10,9,2016,6.4,15.1,56,98
1,11,9,2016,4.9,15.2,68,97
1,12,9,2016,1.7,13.1,49,96
1,13,9,2016,0.7,11.7,67,95
1,14,9,2016,8.8,13.6,56,95
1,15,9,2016,5.7,15.5,68,97
1,16,9,2016,7.2,14.2,56,96
1,17,9,2016,5.1,15.2,72,98
1,18,9,2016,5.6,13.7,70,95
1,19,9,2016,4.1,15.7,53,97
1,20,9,2016,3.6,15.4,66,96
1,21,9,2016,9.9,16.4,51,94
1,22,9,2016,9.2,17.9,50,94
1,23,9,2016,6.3,14.3,70,96
1,24,9,2016,10.4,15.0,79,95
1,25,9,2016,4.4,14.4,45,94
1,26,9,2016,3.7,14.1,54,94
1,27,9,2016,4.0,14.9,62,96
1,28,9,2016,7.6,14.1,64,96
1,29,9,2016,6.3,13.3,80,96
1,30,9,2016,4.2,12.5,76,98
1,1,10,2016,9.6,14.6,71,94
1,2,10,2016,7.0,15.0,77,96
1,3,10,2016,9.4,14.0,67,96
1,4,10,2016,6.1,13.2,67,92
1,5,10,2016,4.5,13.4,72,95
1,6,10,2016,9.9,18.0,59,95
1,7,10,2016,8.0,17.2,41,96
1,8,10,2016,3.2,17.6,43,94
1,9,10,2016,4.2,14.9,73,95
1,10,10,2016,5.9,12.9,55,87
1,11,10,2016,2.1,13.6,57,94
1,12,10,2016,2.7,12.9,43,97
1,13,10,2016,0.2,15.9,44,94
1,14,10,2016,3.1,14.2,53,93
